Kanji,Kanji Meaning,Onyomi Romaji,Onyomi Kana,Kunyomi Romaji,Kunyomi Kana
息,"breath, son, interest (on money)","musu, soku","ムス, ソク",iki,いき
遠,"distant, far","en, on",エン,too(i),とお(い)
戻,"re-, return, revert",rei,レイ,modo(ru),もど(る)
願,"petition, request, wish",gan,ガン,nega(u),ねが(う)
絵,"picture, drawing","kai, e","カイ, エ",,
越,"surpass, cross over, move to, exceed",etsu,エツ,ko(su),こ(す)
欲,"longing, greed, passion",yoku,ヨク,ho(shii),ほ(しい)
痛,"pain, hurt, damage, bruise",tsuu,ツウ,ita(i),いた(い)
笑,laugh,shou,ショウ,"wara(u), e(mu)","わら(う), え(む)"
互,"mutually, reciprocally, together",go,ゴ,"taga(i), katami(ni)","たが(い), かたみ(に)"
束,"bundle, manage",soku,ソク,"taba, tsuka","たば, つか"
似,"becoming, resemble, imitate","ji, ne","ジ, ね",ni(ru),に(る)
列,"file, row, column","retsu, re","レツ, レ",,
探,"search, look for",tan,タン,"sagu(ru), saga(su)","さぐ(る), さが(す)"
逃,"escape, flee",tou,トウ,"ni(geru), noga(su)","に(げる), のが(す)"
遊,play,yuu,ユウ,aso(bu),あそ(ぶ)
迷,"astray, be perplexed, in doubt, lost",mei,メイ,mayo(u),まよ(う)
夢,"dream, vision",mu,ム,yume,ゆめ
君,"you, male name suffix",kun,クン,kimi,きみ
閉,"closed, shut",hei,ヘイ,"to(jiru), shi(meru)","と(じる), し(める)"
緒,"beginning, end, cord, strap",sho,ショ,o,お
折,"fold, break, fracture","setsu, shaku","セツ, シャク","o(ru), ori","お(る), おり"
草,"grass, weeds, herbs",sou,ソウ,kusa,くさ
暮,"evening, livelihood",bo,ボ,ku(rasu),く(らす)
酒,"sake, alcohol",shu,シュ,sake,さけ
悲,"grieve, sad",hi,ヒ,kana(shii),かな(しい)
晴,clear up,sei,セイ,ha(reru),は(れる)
掛,"hang, suspend",kei,ケイ,ka(karu),か(ける)
到,"arrival, proceed, reach",tou,トウ,ita(ru),いた(る)
寝,"lie down, sleep, rest",shin,シン,ne(ru),ね(る)
暗,"darkness, disappear, shade, informal",an,アン,kura(i),くら(い)
盗,"steal, rob",tou,トウ,nusu(mu),ぬす(む)
吸,"suck, inhale",kyuu,キュウ,su(u),す(う)
陽,"sunshine, positive",you,ヨウ,hi,ひ
御,honorable,"gyo, go","ギョ, ゴ","on, o","おん, お"
歯,"tooth, cog",shi,シ,ha,は
忘,forget,bou,ボウ,wasu(reru),わす(れる)
雪,snow,setsu,セツ,yuki,ゆき
吹,"blow, breathe, puff",sui,スイ,fu(ku),ふ(く)
娘,"daughter, girl",jou,ジョウ,"musume, ko","むすめ, こ"
誤,mistake,go,ゴ,ayama(ru),あやま(る)
洗,wash,sen,セン,ara(u),あら(う)
慣,"accustomed, get used to",kan,カン,na(reru),な(れる)
礼,"salute, bow, ceremony, thanks","rei, rai","レイ, ライ",,
窓,"window, pane",sou,ソウ,mado,まど
昔,"once upon a time, old times","seki, shaku","セキ, シャク",mukashi,むかし
貧,"poverty, poor","hin, bin","ヒン, ビン",mazu(shii),まず(しい)
怒,"angry, be offended",do,ド,"ika(ru), oko(ru)","いか(る), おこ(る)"
泳,swim,ei,エイ,oyo(gu),およ(ぐ)
祖,"ancestor, pioneer, founder",so,ソ,,
杯,"glass, cup",hai,ハイ,sakazuki,さかずき
疲,"exhausted, tire",hi,ヒ,tsuka(reru),つか(れる)
皆,"all, everyone, everybody",,,"mina, minna","みな, みんな"
鳴,"chirp, cry, bark",mei,メイ,na(ru),な(る)
腹,"abdomen, belly, stomach",fuku,フク,hara,はら
煙,smoke,en,エン,"kemu(ru), kemuri","けむ(る), けむり"
眠,sleep,min,ミン,nemu(ru),ねむ(る)
怖,"dreadful, fearful",fu,フ,"kowa(i), o(jiru)","こわ(い), お(じる)"
耳,ear,ji,ジ,mimi,みみ
頂,"receive, top, summit, peak",chou,チョウ,itada(ku),いただ(く)
箱,"box, chest",sou,ソウ,hako,はこ
晩,"nightfall, night",ban,バン,,
寒,cold,kan,カン,samu(i),さむ(い)
髪,hair (on the head),hatsu,ハツ,kami,かみ
忙,"busy, occupied","bou, mou","ボウ, モウ",isoga(shii),いそが(しい)
才,"genius, years old",sai,サイ,,
靴,shoes,ka,カ,kutsu,くつ
恥,"shame, dishonor",chi,チ,"haji, ha(zukashii)","はじ, は(ずかしい)"
偶,"accidentally, even number",guu,グウ,tama,たま
偉,"admirable, greatness",i,イ,era(i),えら(い)
猫,cat,byou,ビョウ,neko,ねこ
幾,"how many, how much, some",ki,キ,iku(tsu),いく(つ)
誰,"who, someone, somebody",sui,スイ,dare,だれ
